Time,"Engine speed","Manifold pressure","Air mass measured","Air mass calculated","Periodic air mass","Lambda actual value group 1","Lambda actual value group 2","Additive mixture adaptation idle bank 1","Additive mixture adaptation idle bank 2","Multiplicative mixture adaptation low load bank 1","Multiplicative mixture adaptation low load bank 2","Throttle valve setpoint","Current throttle angle","Idle target speed","Opening angle of the EGR valve","Duty cycle: air damper","DISA1 PWM (large / upper flap)","DISA2 PWM (small / lower flap)","Uneven running of cylinder 1","Uneven running cylinder 2","Uneven running cylinder 3","Uneven running cylinder 4","Number of misfires over life, cylinder 1","Number of misfires over life, cylinder 2","Number of misfires over life, cylinder 3","Number of misfires over life, cylinder 4","Intake air temperature","Temperature before throttle valve","Leakage air adaptation actual value","Fuel pressure upstream of quantity control valve","Current multiplicative mixture adaptation Bank 1 from lambda adaptation","Current multiplicative mixture adaptation Bank 2 from lambda adaptation","Long-term adaptation Bank 1","Long-term adaptation Bank 2","Multiplicative mixture adaptation high load bank 1","Multiplicative mixture adaptation high load bank 2","Multiplicative mixture adaptation including long-term adaptation Bank 1","Multiplicative mixture adaptation including long-term adaptation Bank 2","NOx sensor system adaptation value","Number of completed NOX sensor system adaptations","Number of completed NOx sensor system adaptations","Mileage at last NOx sensor system adaptation"
0.005,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0,0,0,0,0,0,0,0,0,0,0
0.011,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0,0,0,0,0,0,0,0,0,0
0.012,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
0.012,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
0.012,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0
0.012,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0
0.013,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
0.013,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
0.013,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
0.013,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0,0
0.014,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0
0.014,0.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.060,724.00,1.03,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.060,724.00,0.35,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.061,724.00,0.35,8.00,0.00,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.061,724.00,0.35,8.00,130.22,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.061,724.00,0.35,8.00,130.22,0.00,1.00,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.062,724.00,0.35,8.00,130.22,0.00,1.02,1.00,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.062,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.063,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.063,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.064,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.064,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,3.73,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.064,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,4.90,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.065,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.065,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.78,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.066,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.066,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.066,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,15.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.066,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,0.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.067,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,0.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.067,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,0.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.067,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,0.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.067,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.068,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.068,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26922.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.068,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.068,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.069,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.80,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.069,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.069,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.070,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.070,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.070,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.070,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.071,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.071,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,-4.08,0.00,0.00,0.00,0.00,709.00,0.00,0.00
4.071,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,-4.08,-4.08,0.00,0.00,0.00,709.00,0.00,0.00
4.072,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,-4.08,-4.08,9.85,0.00,0.00,709.00,0.00,0.00
4.072,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,-4.08,-4.08,9.85,9.85,0.00,709.00,0.00,0.00
4.072,724.00,0.35,8.00,130.22,0.00,1.02,1.02,1.00,1.00,-4.08,-4.08,1.87,2.45,700.00,0.00,5.08,67.00,67.00,1210.00,935.00,-1466.00,-301.00,19958.00,14827.00,26925.00,65535.00,42.00,42.00,0.00,5.26,0.00,0.00,0.00,0.00,-4.08,-4.08,9.85,9.85,0.00,709.00,0.00,0.00
